#;status_id;screen_name;created_at;text;location;lang;hashtag;servicio;FALLA
44;1,47E+18;emapagye;22/12/2021 16:40;El proyecto comprende  la ampliación de la dotación de agua potable a través de redes de distribución e instalación de sistemas Booster, que permitirá mantener las presiones óptimas del sistema de abastecimiento, específicamente en los puntos más alejados.;;es;agua potable;Agua;No
45;1,47E+18;emapagye;22/12/2021 16:40;la “Viabilidad a los Estudios y Diseños del punto de conexión de Agua Potable para programa habitacional de Lotes Municipales y redes de abastecimiento para Cooperativas Realidad de Dios, Cantón Guayaquil, Provincia del Guayas, que beneficia a aproximadamente 15.000 habitantes. https://t.co/3msxLNIuqF;;es;agua potable;Agua;No
46;1,47E+18;emapagye;23/12/2021 3:07;Mientras duran los trabajos efectuados por la operadora @Interagua, que tienen como objetivo mejorar la calidad y continuidad del servicio de agua potable en la ciudad, EMAPAG supervisa el abastecimiento alternativo a hospitales y centros asistenciales a través de tanqueros. https://t.co/YjPNYomIDz;;es;agua potable;Agua;No
47;1,48E+18;emapagye;29/12/2021 17:47;Personal de EMAPAG- EP realizó como parte de su plan estratégico anual, la supervisión en sitio del proceso de facturación que realiza la operadora @Interagua en la parroquia rural Puná. Asimismo, se receptaron requerimientos de los usuarios y se socializó el rol de EMAPAG EP https://t.co/4WQdPNxqf6;;es;Interagua;Agua;No
48;1,48E+18;emapagye;27/12/2021 0:58;y Américo Vespucio 1, ubicadas en Isla Trinitaria, beneficiando a 48.489 habitantes de estos sectores, que serán atendidos con la reconstrucción de sus calles y la expansión de los sistemas hidrosanitarios de agua potable y alcantarillado.;;es;agua potable;Agua;No
49;1,47E+18;emapagye;23/12/2021 2:29;y Américo Vespucio 1, ubicadas en Isla Trinitaria, beneficiando a 48.489 habitantes de estos sectores, que serán atendidos con la reconstrucción de sus calles y la expansión de los sistemas hidrosanitarios de agua potable y alcantarillado.;;es;agua potable;Agua;No
50;1,48E+18;FabricioLayedra;30/12/2021 20:47;@CNT_EC @EcuavisaInforma A @interagua le tomó 2 días venir a reparar la tapa de AASS. Ustedes @CNT_EC van 20 días con la misma respuesta “ya está escalado con el equipo técnico” Tenemos que esperar un accidente de gravedad de alguien que pase? @EcuavisaInforma https://t.co/mzyQ9IdnOv;Guayaquil, Ecuador;es;Interagua;Agua;Si
51;1,47E+18;FernandoAlburq;23/12/2021 13:29;"@ALBAMENDOZAPAR1 @cynthistas @SegurityServic1 @CynthiaViteri6 @teleamazonasec @PorGuayas @lulagaray @RonPeper @TomHagenR @JorgeAcaiturri Es mi opinión y punto
Es que obvio que no hay nada bueno
Cierre de aeropuerto 
Pésimo sistema de agua potable
Sistema de transporte ineficiente 
Piscina con olas y al día siguiente gye inundado 
Usted que tiene espíritu de vasallo allá usted que cree en todo lo que dice.";Guayaquil, Ecuador;es;agua potable;Agua;No
52;1,48E+18;freddyrmedina;29/12/2021 22:55;"@jefevergara @interagua @DEFENSORIAEC Busca a alguien. Y que la quiten...
Pon unas cañas o maderos largos para que no se caigan los carros y listo...
Pinta unas X con pintura blanca...

A dormir tranquilo";Guayaquil, Ecuador;es;Interagua;Agua;SI
53;1,48E+18;gatitito24;30/12/2021 0:21;@interagua no hay semana que no corten el servicio y ahora como porque no hay en la chala??;Guayaquil-Ecuador;es;Interagua;Agua;Si
54;1,48E+18;geatapia;30/12/2021 22:18;como Venecia sin agua, como Madrid sin gente;Guayaquil, Ecuador;es;sin agua;Agua;No
55;1,47E+18;geoescudero;25/12/2021 18:40;@interagua  HCOMO SON BUENOS PARA CORTAR EL SERVICIO DE AGUA POR UNA FACTURA VENCIDA SIN IMPORTARLE PERSONAS VULNERABLES Y NIÑOS QUE HAY EN CASA Y ASÍ LOS DEJAN SIN AGUA . ASI MISMO SEAN RESPONSABLES QBYA SE CANCELO LA DEUDA ENVIEN A ESOS INUTILES A RECONECTAR EL SERVICIO DE AGUA;guayaquil;es;sin agua;Agua;Si
56;1,47E+18;Gi_emelexista;23/12/2021 10:36;@interagua O sea sin agua todo el día!!!!;Guayaquil/Ecuador;es;sin agua;Agua;Si
57;1,47E+18;GiGA_78fm;23/12/2021 12:31;@interagua ya son más de quince horas sin agua en el sector del suburbio por favor no podemos estar así;Guayaquil-Ecuador;es;sin agua;Agua;Si
58;1,48E+18;Gongora1209;28/12/2021 16:13;@AmaguaCEM señores SIN AGUA en vía a Salitre. favor solucionar;Guayaquil, Ecuador;es;sin agua;Agua;SI
59;1,47E+18;Henvp;23/12/2021 10:55;@interagua Por favor sres de interagua sean más serios con los horarios Q restablecen el agua, aún no hay servicio de agua potable en el suburbio;Ecuador gye;es;agua potable;Agua;Si
60;1,48E+18;inmocaracol;30/12/2021 21:13;"*En Durán Vía Duran - Yaguachi se vende terreno industrial de 18000m2* acceso a servicios básicos, agua potable por tubería, Luz de alta tensión - Trifásica, Uso de suelo para industrias de alto impacto
Precio $1.890.000 (US$105 c/m2)
Informes 099-2290830 https://t.co/8suPmOKl3f";Guayaquil, Ecuador;es;agua potable;Agua;No
61;1,48E+18;inmocaracol;30/12/2021 21:05;<U+0001F4F7> *En Durán Vía Duran - Yaguachi se vende terreno industrial de 18000m2* acceso a servicios básicos, agua potable por tubería, Luz de alta tensión - Trifásica, Uso de suelo para industrias de alto impacto Precio $1.890.000 (US$105 c/m2)... https://t.co/aYsUDMRcCP;Guayaquil, Ecuador;es;agua potable;Agua;No
62;1,48E+18;interagua;30/12/2021 1:51;@albertovelizv Hola @albertovelizv, nos encontramos gestionando para que el servicio se restablezca con normalidad de manera urgente #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
63;1,47E+18;interagua;22/12/2021 18:10;@alceni74 Buenas tardes @alceni74, se realizará la interrupción del servicio de agua potable en los sectores mencionados. Desde las las 16h00 del miércoles 22 hasta las 04h00 del jueves 23 de diciembre del 2021.https://t.co/ioE1oBz3z9;Guayaquil;es;agua potable;Agua;No
64;1,48E+18;interagua;30/12/2021 2:50;@AlezandeB Buenas noches @AlezandeB, hemos tratado de comunicarnos internamente con usted, pero por la privacidad de su perfil no hemos podido. Por favor su ayuda contactándose internamente con su número de contrato para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
65;1,48E+18;interagua;30/12/2021 1:49;@Algonial Hola @Algonial, hemos tratado de comunicarnos internamente con usted, pero por la privacidad de su perfil no hemos podido. Por favor su ayuda contactándose internamente  para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
66;1,48E+18;interagua;29/12/2021 3:48;@anabellita1980 Hola @anabellita198, en su sector presento un corte emergente, debido a un daño en la red, el mismo que ya está siendo reparado, para poder restablecer el servicio lo más pronto posible, agradecemos su compresión. #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
67;1,47E+18;interagua;25/12/2021 17:59;@car1605 Buenas tardes @car1605, se genero solicitud 140684006 para reparación de fuga de agua potable, le atenderemos a la brevedad posible.;Guayaquil;es;agua potable;Agua;No
68;1,48E+18;interagua;30/12/2021 21:23;@CevallosMary Hola @CevallosMary, nos encontramos gestionando para que el servicio se restablezca con normalidad de manera urgente #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
69;1,48E+18;interagua;30/12/2021 21:23;@CevallosMary Hola @CevallosMary, nos encontramos trabajando para realizar las reparaciones en el menor tiempo posible, tenga por seguro que le estaremos informando los avances del mismo hasta su restablecimiento. Saludos!;Guayaquil;es;Interagua;Agua;No
70;1,48E+18;interagua;30/12/2021 2:56;@Chicho0079 Hemos concluido con los trabajos de reparación para mejorar el servicio en su sector y evitar futuras complicaciones. El flujo se está restaurando de forma paulatina.;Guayaquil;es;Interagua;Agua;No
71;1,48E+18;interagua;30/12/2021 1:48;@Chicho0079 Hola @Chicho0079, lamentamos las molestias ocasionadas, ¿Me indica su sector por favor?.;Guayaquil;es;Interagua;Agua;No
72;1,48E+18;interagua;29/12/2021 3:26;@ChrisBaby1982 Hola @ChrisBaby1982, para nosotros es importante conocer a fondo su caso y así poder brindarle la solución que merece. En breve lo contactaremos;Guayaquil;es;Interagua;Agua;No
73;1,48E+18;interagua;30/12/2021 21:48;@delabogado Hola @delabogado, ¿Me podría indicar su número de contrato para poder procesar su requerimiento #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
74;1,48E+18;interagua;30/12/2021 22:32;@donytu47 Hola @donytu47, nos estamos comunicando por interno con usted para procesar su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
75;1,48E+18;interagua;30/12/2021 1:56;@ElmerRamon2 Hola @ElmerRamon2, en su sector presento un corte emergente, debido a un daño en la red, el mismo que ya está siendo reparado, para poder restablecer el servicio lo más pronto posible, agradecemos su compresión. #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
76;1,48E+18;interagua;29/12/2021 22:23;@Fcovera21Vera Hola @Fcovera21Vera, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
77;1,48E+18;interagua;30/12/2021 1:44;@freddyrmedina Hola @freddyrmedina, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
78;1,48E+18;interagua;30/12/2021 1:47;@gatitito24 Hola @gatitito24, en su sector presento un corte emergente, debido a un daño en la red, el mismo que ya está siendo reparado, para poder restablecer el servicio lo más pronto posible, agradecemos su compresión. #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
79;1,48E+18;interagua;30/12/2021 16:14;@ggardenia1 Buenos dìas @ggardenia1, en breve nos comunicaremos con usted por interno para atender su requerimiento.;Guayaquil;es;Interagua;Agua;No
80;1,48E+18;interagua;30/12/2021 2:59;@gialassoh Hola @gialassoh, lamentamos mucho las molestias ocasionadas, ¿me indica su sector por favor?.;Guayaquil;es;Interagua;Agua;No
81;1,48E+18;interagua;30/12/2021 3:49;@hellenecu Gracias a usted por escribirnos, cualquier novedad no dude en contactarnos. Recuerde que Interagua está para servirle que tenga una excelente noche.;Guayaquil;es;Interagua;Agua;No
82;1,48E+18;interagua;30/12/2021 2:57;@hellenecu Hola @hellenecu, hemos concluido con los trabajos de reparación para mejorar el servicio en su sector y evitar futuras complicaciones. El flujo se está restaurando de forma paulatina.;Guayaquil;es;Interagua;Agua;No
83;1,48E+18;interagua;29/12/2021 11:12;@hola202014 Buenos días @hola202014, lamentamos las molestias ocasionadas, hemos concluido con los trabajos de reparación para mejorar el servicio en su sector y evitar futuras complicaciones. #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
84;1,48E+18;interagua;30/12/2021 1:55;@Istefaniasp Hola @Istefaniasp, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
85;1,48E+18;interagua;30/12/2021 10:57;@JaimeDeLaCruzC Hola @JaimeDeLaCruzC, gracias por reportarnos este daño, nos hemos contactado internamente con usted y así poder brindarle la solución que merece.;Guayaquil;es;Interagua;Agua;No
86;1,48E+18;interagua;30/12/2021 2:55;@JavierMomtoya Hola @JavierMomtoya, hemos concluido con los trabajos de reparación para mejorar el servicio en su sector y evitar futuras complicaciones. El flujo se está restaurando de forma paulatina.;Guayaquil;es;Interagua;Agua;No
87;1,48E+18;interagua;29/12/2021 22:20;@jefevergara  Hola @jefevergara, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
88;1,48E+18;interagua;29/12/2021 22:20;@jefevergara  Hola @jefevergara, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
89;1,48E+18;interagua;29/12/2021 22:14;@jefevergara  Hola @jefevergara, para nosotros es importante conocer a fondo su caso y así poder brindarle la solución que merece. En breve lo contactaremos.;Guayaquil;es;Interagua;Agua;No
90;1,48E+18;interagua;30/12/2021 15:00;@jefevergara Buenas tardes @jefevergara, comprendemos su malestar, de acuerdo a la orden 39586658 generada nos encontramos realizando el seguimiento necesario para atenderle a la brevedad posible.;Guayaquil;es;Interagua;Agua;No
91;1,48E+18;interagua;29/12/2021 22:12;@jefevergara Hola @jefevergara, nos estamos comunicando internamente con usted para procesar su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
92;1,48E+18;interagua;29/12/2021 22:20;@jefevergara Hola @jefevergara, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
93;1,48E+18;interagua;29/12/2021 22:12;@jefevergara Hola @jefevergara, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
94;1,48E+18;interagua;30/12/2021 2:42;@jorgemunoz1214 Buenas noches @jorgemunoz1214, para nosotros es importante conocer a fondo su caso y así poder brindarle la solución que merece. En breve lo contactaremos por interno.;Guayaquil;es;Interagua;Agua;No
95;1,48E+18;interagua;30/12/2021 21:35;@jorgemunoz1214 Hola @jorgemunoz1214, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
96;1,48E+18;interagua;29/12/2021 17:03;@jsg7798 Buenas tardes @jsg7798, para nosotros es importante conocer a fondo su caso y así poder brindarle la solución que merece. En breve lo contactaremos por interno.;Guayaquil;es;Interagua;Agua;No
97;1,48E+18;interagua;30/12/2021 2:47;@KatitaVega Hola @KatitaVega, lamentamos mucho las molestias ocasionadas, ¿me indica su sector por favor?.;Guayaquil;es;Interagua;Agua;No
98;1,48E+18;interagua;29/12/2021 22:30;@Katiuskag5 Hola @Katiuskag5, en su sector presento un corte emergente, debido a un daño en la red, el mismo que ya está siendo reparado, para poder restablecer el servicio lo más pronto posible, agradecemos su compresión. #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
99;1,48E+18;interagua;30/12/2021 16:24;@l4uis_pe Buenos dìas @l4uis_pe, comprendemos su malestar, le informamos equipo técnico se encuentra en su sector  realizando los trabajos de reparación debido al daño emergente presentado, su servicio será restablecido a la brevedad posible.;Guayaquil;es;Interagua;Agua;No
100;1,48E+18;interagua;29/12/2021 22:29;@laexgordita Hola @laexgordita, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
101;1,48E+18;interagua;29/12/2021 22:29;@laexgordita Hola @laexgordita, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
102;1,48E+18;interagua;30/12/2021 21:56;@LcdoZambrano Hola @LcdoZambrano, nos encontramos gestionando para que el servicio se restablezca con normalidad de manera urgente #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
103;1,48E+18;interagua;30/12/2021 21:55;@LcdoZambrano Hola @LcdoZambrano, nos encontramos trabajando para realizar las reparaciones en el menor tiempo posible, tenga por seguro que le estaremos informando los avances del mismo hasta su restablecimiento. Saludos!;Guayaquil;es;Interagua;Agua;No
104;1,48E+18;interagua;30/12/2021 22:43;@leonarbulu Hola @leonarbulu, nos estamos comunicando por interno con usted para procesar su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
105;1,48E+18;interagua;29/12/2021 3:29;@LisBGdeHolmes Hola @LisBGdeHolmes, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
106;1,48E+18;interagua;29/12/2021 3:25;@loaysa_b @jaimenebotsaadi @CynthiaViteri6 @Alcaldiagye1 @Veolia @urvaseo @Veolia_Ec @fondagua Hola @loaysa_b, nos hemos comunicado internamente con usted para atender su requerimiento. #NuncaNosRendimos;Guayaquil;es;Interagua;Agua;No
107;1,48E+18;interagua;30/12/2021 21:37;@Lrobles_Dg Hola @Lrobles_Dg, lamentamos las molestias ocasionadas, ¿Me indica su sector por favor?.;Guayaquil;es;Interagua;Agua;No
108;1,48E+18;interagua;30/12/2021 22:54;@ManzoGuillermo Gracias a usted por escribirnos, cualquier novedad no dude en contactarnos. Recuerde que Interagua está para servirle que tenga una excelente tarde. #InteraguaContigo;Guayaquil;es;Interagua;Agua;No
109;1,48E+18;interagua;29/12/2021 11:10;@MiguelP09045893 Hola Miguel, comprendemos su preocupación y le pedimos disculpas de antemano. Debido al daño presentado en el sector es necesario tomar las medidas respectivas para realizar los trabajos de reparación y poder continuar brindándole el servicio que se merece.;Guayaquil;es;Interagua;Agua;No
110;1,48E+18;interagua;30/12/2021 16:04;@mirysoveniss Buenos dìas @mirysoveniss, para nosotros es importante conocer a fondo su caso y así poder brindarle la solución que merece. En breve lo contactaremos por interno.;Guayaquil;es;Interagua;Agua;No
