#;status_id;screen_name;created_at;text;location;lang;hashtag;clasificacion;Si/No
11;1,48E+18;andrescarchi80;5/1/2022 1:18;"Al aire #PASSIONEDELRECUERDO aquÌ en tu radio preferida. 
Sonando ""Los ¡ngeles Negros - Y volverÈ     "" Ö La buena m˙sica aquÌ en tu radio
@TwitradiooApp

@Twitradioo";Guayas, Ecuador;es;negros;racismo;no
12;1,48E+18;antovillacres;28/12/2021 16:27;"@alexand_rengifo Los indios son oportunistas, no es de admirarse de estas coaliciones entre ratas.
Claro ejemplo esa asamblea, quiÈn te dijo da tu voto a un indio?";Riobamba, Ecuador;es;indios;racismo;si
13;1,48E+18;AriMinucheS;2/1/2022 16:06;Dios mÌo uno entra a redes sociales y todos con listones negros<U+0001F629>;machala-ecuador;es;negros;racismo;no
14;1,48E+18;arivaden;3/1/2022 4:57;@SUZUKI_CHR Longos;Guayaquil - Ecuador;es;longos;racismo;si
15;1,48E+18;auleme;31/12/2021 14:17;@IlsonJavier De pronto pero esos zapatos negros mocasines no van.;en el mundo ;es;negros;racismo;no
16;1,48E+18;AZULJUSTICIERO;1/1/2022 21:49;Iím back perrillas ! Aguante Emelec ! No pueden con el justiciero longos !!!;;es;longos;racismo;si
17;1,48E+18;b80leo;2/1/2022 22:45;@DamianAzul10 Son una huevada esos longos, hace media hora fui a comprar una libra de papa y se demoraba despachando el mmv, resulta ser que le estaba respondiendo a un tal Oscar Dami·n en Twitter.;Portoviejo, Ecuador;es;longos;racismo;si
18;1,48E+18;beto2319315840;5/1/2022 19:07;@eluniversocom @CaropimentelJ No pude ser feminicidio porq no es mujer, todo asesina es un HOMICIDIO, xq simplemente no usan la palabra correcta y lo tratan al tema como es como un asesinato es igual de execrable cometido hacia un niÒo,mujer, anciano, trans, lesbiana, homosexuales, negros, blancos,eterosexual;machala;es;negros;racismo;no
19;1,48E+18;Bibliofilolexus;4/1/2022 16:10;@Alfonso20166 @lagrutense @Soledad36648391 @JokerCarlosDan1 El Martin Fierro habla del sur de Baires y la pampa, eso no es la Patagonia. volvÈs a mezclar todo, pero si vamos al Martin Fierro, ahÌ mismo dices que los indios son vagos, vengativos y que tratan a las mujeres como esclavas. y tambien de los malones.;Un lugar en el mundo.;es;indios;racismo;no
20;1,48E+18;Billie_todologa;4/1/2022 4:31;"El inicio de actividades en Liga Miraflores ser· el 11 de enero y se tomar·n medidas de precauciÛn #bÈisbol #sÛftbol
Fuente: IG Equipo Indios https://t.co/kNT3sp8CWd";Guayaquil - Ecuador;es;indios;racismo;no
21;1,48E+18;Billie_todologa;30/12/2021 3:23;"El Vice CampeÛn del torneo fue el equipo INDIOS <U+0001F948>

ADUC quedÛ en tercer lugar y el equipo manabita del Club Roque Macias en cuarto lugar.
#sÛftbolenGuayaquil https://t.co/XbA1soL3bV";Guayaquil - Ecuador;es;indios;racismo;no
22;1,48E+18;BOTcelona;4/1/2022 1:18;@redfield1983 @galloazul25 Esos negros tienen m·s historia que toda la selecciÛn de Honduras en su historia, no te compares;Guayaquil, Ecuador;es;negros;racismo;si
23;1,48E+18;botterismo;4/1/2022 17:20;@hondurancomedy @JCCrespismo Negros pero con la bija m·s grande de AmÈrica;Ambato, Ecuador;es;negros;racismo;si
24;1,48E+18;caluito;2/1/2022 7:29;Trabajar de noche y ver videos de puntos negros en el dÌa .. asÌ ser· mi vida de feo este 2022;Guayaquil, Ecuador;es;negros;racismo;no
25;1,48E+18;carlosroseroz02;2/1/2022 19:40;Este aÒo si o si me compro mis Nike dunk negros;Guayaquil, Ecuador;es;negros;racismo;no
26;1,48E+18;CheloBarceSC;30/12/2021 1:08;"@Thecrazycortez Literalmente es:
Voy a soÒarss con B˙rrai!!! (No se xq chucha acent˙a en la u cuando pronuncia el apellido de Burrai)
LÈanlo como longos!!!
Confirma mongo @ElSamu_BSC";Manta, Ecuador;es;longos;racismo;no
27;1,48E+18;clas_luis;2/1/2022 12:35;No entiendo el tal Apache por decirle que es un fraude recurre a lo b·sico el bloqueo, si lucha contra la corrupciÛn de aquÌel paÌs, porque adoptar nombres extranjero porque no llamarse Huancavilca, Colorado, Purahes, Aucas,  a lo mejor esos indios le suenan feo;;es;indios;racismo;no
28;1,48E+18;CorinaRuedaB;29/12/2021 11:25;@lacomefloreros Siguen siendo blancos, pero una versiÛn rusa musulmana. Estuve en Azerbaiy·n hace unos aÒos y los manes le pedÌan a mis amigos africanos que se tomaran fotos con ellos porque no habÌan visto negros.;Pachamama;es;negros;racismo;si
29;1,48E+18;cristopherhapp5;3/1/2022 17:21;UrbanizaciÛn longos https://t.co/XBHc8EfgPI;Guayaquil, Ecuador;es;longos;racismo;no
30;1,48E+18;CruzJarra;3/1/2022 16:26;@Cantismo_ Jajajajajajaja recien me fijo que en Barcelona separan a los blancos de los negros que tiro xd;Guayaquil, Ecuador;es;negros;racismo;si
31;1,48E+18;dapgon;29/12/2021 18:04;@pablogg66 @LaMadameBlack @arrebola_david Igualdad y discriminaciÛn a las personas que no nos sometemos a sus experimentos, pero si respetan a musulmanes, chinos, indios, negros, ilegales y no tengo nada contra nadie pero aquÌ jodemos todos Ú se acabo el juego, a ver ministrilla de paxotilla;Cuenca;es;negros;racismo;no
32;1,48E+18;dapgon;29/12/2021 18:04;@pablogg66 @LaMadameBlack @arrebola_david Igualdad y discriminaciÛn a las personas que no nos sometemos a sus experimentos, pero si respetan a musulmanes, chinos, indios, negros, ilegales y no tengo nada contra nadie pero aquÌ jodemos todos Ú se acabo el juego, a ver ministrilla de paxotilla;Cuenca;es;indios;racismo;no
33;1,48E+18;deadFreak781;29/12/2021 4:47;Cualquier similitud con los negros que ahora vuelven a hacer apartheid contra los blancos en Sud·frica es mera coincidencia. https://t.co/Y7umD6EU1c;Guayaquil, Ecuador;es;negros;racismo;no
34;1,48E+18;DebateBSC;2/1/2022 15:00;Hasta ahora no hay negros en la #CopaFacha, est· quedando todo muy racista.;Guayaquil, Ecuador;es;negros;racismo;si
35;1,48E+18;donanorma2016;6/1/2022 0:27;"MUY BIEN LASSO...AL FIN !! PORQUE TE DEMORASTE Y DEJASTE ""ARMAR*A LOS INDIOS?  CON  SALVAJES NO SE PUEDEN TRATAR COSAS SERIAS. ELLOS SON ATRASA PUEBLO!!! https://t.co/Br2lsluAkB";DE;es;indios;racismo;si
36;1,48E+18;DTTECWJ;28/12/2021 15:22;@Johaaanss Porque no se llamarÌa asado sino merienda de negros;Guayaquil, Ecuador;es;negros;racismo;si
37;1,48E+18;EdwinMo85933085;5/1/2022 10:52;Ac· en el Ecuador tenemos las dinastÌas de los BUCARAM'S, GUTI…RREZ,NOBOA'S,DAHIK'S, MORENOS, MAHUAD Y SU ALUMNO ABANDERADO , LASSO, expertos en saquear al pais. https://t.co/9SY3afvuFf;Pichincha, Ecuador;es;morenos;racismo;no
38;1,48E+18;Fabianoxtiern;28/12/2021 18:09;@napogallardoq @AntonioUbilla1 Adagio de longos, solo all· dicen eso, todo porque quedaron con la colita rota, que ni invadiendo la cancha ni agrediendo a los jugadores de Barcelona pudieron evitar que estos fueran campeones, a llorar a los Barriales.;Guayaquil, Ecuador;es;longos;racismo;si
39;1,48E+18;fernandosalto81;1/1/2022 21:42;<U+0001F44D> on @YouTube: Esos Ojitos Negros Charlie Aponte Con el Gran Combo de Puerto Rico LIVE https://t.co/1bPO9jpATA;Guayaquil;es;negros;racismo;no
40;1,48E+18;ferrivper;2/1/2022 22:55;El 3 arranca los programas econÛmicos del Pres.Lasso,adquirimos el compromiso al patear el 2021 con promesas de cambios,no ha llorar ni a lamentarse,hagamos trabajar el coco,siempre hay adversidades,pero estamos superando 2 aÒos negros,exijamos pero no paremos.T⁄ ERES ECUADOR.;Guayaquil, Ecuador;es;negros;racismo;no
41;1,48E+18;FranciscoJV50;30/12/2021 18:06;Como dijo Nando cuando Kill Monger matÛ a Klaw: ìnunca debes confiar en los negrosî<U+0001F602> https://t.co/nAz9tcOlju;Cuenca, Ecuador;es;negros;racismo;si
42;1,48E+18;Freile_navarro;29/12/2021 20:16;Los Angeles Negros (GermaÌn De La Fuente) - Y VolverÈ (PresentaciÛn Color) https://t.co/wmEw8agzwP a travÈs de @YouTube;Guayas, Ecuador;es;negros;racismo;no
43;1,48E+18;Freile_navarro;29/12/2021 20:14;"LOS ANGELES NEGROS ""Y LA HISTORIA NO CONTADA DE Y VOLVER…"" https://t.co/JRNvApB2QJ a travÈs de @YouTube";Guayas, Ecuador;es;negros;racismo;si
44;1,48E+18;fromequator;5/1/2022 16:50;@paImpExp72 @justiciero_elj Longos de verg@ acomplejados que no respetan a nadie;Ambato ;es;longos;racismo;si
45;1,48E+18;ga_nm79;5/1/2022 15:44;"@JacoboG_Ecu AquÌ en el Ecuador los gallinazos nacen asÌ y terminan negros <U+0001F923><U+0001F602>
Hermosas pestaÒas que se gasta Jacobito";Guayas, Ecuador;es;negros;racismo;no
46;1,48E+18;ga_nm79;5/1/2022 4:23;"@PedroAndres_80 Si alg˙n dÌa me encuentro con un mÈdico de esos negros guapÌsimos le dirÈ que me aplique el mismo tratamiento a  ver si funciona y salgo de dudas 
<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>";Guayas, Ecuador;es;negros;racismo;no
47;1,48E+18;GabrielRodr1988;4/1/2022 3:01;"@HarryPutter_1 Eso fue la plena ....pero lo m·s l·mpara fue en el 2007 cuando estuvimos a 5 puntos de irnos a la B...
Fueron aÒos negros del equipo";Guayaquil, Ecuador;es;negros;racismo;no
48;1,48E+18;Genesisrivera_6;4/1/2022 22:14;@victoria_pvs @chispitasjc Jajajajaja cara de Indios nomas;Santa Rosa, Ecuador;es;indios;racismo;si
49;1,48E+18;Georgebar1980;29/12/2021 16:54;@IvanTrivinoS Les arder· por el resto de su vida longos chuchas de su madre jajajajaja;Guayaquil, Ecuador;es;longos;racismo;si
50;1,48E+18;gpc_33;30/12/2021 21:01;@eluniversocom Para este caso alquilate un par de pit bull grandes, y un par de bulldog negros azabaches, hptas hasta a la policÌa los hace soplar.;Guayaquil, Ecuador;es;negros;racismo;no
51;1,48E+18;gregmoreira10;5/1/2022 16:59;@darwin_hr24 Entre longos no se pisan el poncho;Guayaquil, Ecuador;es;longos;racismo;si
52;1,48E+18;gregmoreira10;5/1/2022 16:23;Lo peor es que con esto se alborotan todos esos longos uÒa sucia a tirar la que ese hp es el ˙nico dirigente que le dice las verdades a lus equipus del Astilleru.;Guayaquil, Ecuador;es;longos;racismo;si
53;1,48E+18;HitlerLiguista1;3/1/2022 23:34;El video de los longos diciendo viii a este man le gusta Bon Jovi es el mejor de la historia;SamborondÛn;es;longos;racismo;si
54;1,48E+18;HugoPiscivoro;1/1/2022 17:22;@Bladestock11 Pero all· son negros de verdad por lo menos.;RÌo Negro;es;negros;racismo;si
55;1,48E+18;Insano1925;6/1/2022 2:14;Oigan, ud se dan piquitos (besos negros) con sus primas para iniciar bien el aÒo nuevo(?) es que tengo dudas de que eso sea normal jajajajakaak;Guayaquil, Ecuador;es;negros;racismo;no
56;1,48E+18;jaggergar0;31/12/2021 23:25;@sugarIvundraw que sean homofÛbicas lo entiendo, pero tirarle asÌ a los negros? nunca en mi vida lo he visto;Cuenca, Ecuador;es;negros;racismo;si
57;1,48E+18;JhonyEusebio;2/1/2022 17:05;Ya dÌganme quien usÛ calzones negros, pa ir <U+0001F970>;Salinas - Ecuador;es;negros;racismo;no
58;1,48E+18;JoseLuisPortnoy;31/12/2021 19:17;31 de diciembre de 1857 la ciudad de Ottawa, antiguo asentamiento de los indios algonquinos, se convierte en la capital de Canad·. https://t.co/xJo2q4WB35;Guayaquil, Ecuador;es;indios;racismo;no
59;1,48E+18;JuanDaGodfather;30/12/2021 4:49;"Mi amor por ti es como el universo, en el que poco a poco te entrego las estrellas, los planetas, las galaxias, cometas y hasta agujeros negros; para llenar, con mi propia inmensidad, el vacÌo de tu corazÛn.";Cuenca, Ecuador;es;negros;racismo;no
60;1,48E+18;juanmaciaso;3/1/2022 19:46;AsÌ es como un grupo de astrÛnomos ha creado un mapa con 25.000 agujeros negros supermasivos  https://t.co/B6DfzNmByF;Guayaquil, Ecuador;es;negros;racismo;no
61;1,48E+18;JuanpixUN;4/1/2022 12:12;Fondo negro para fotografÌa https://t.co/WLdNN20Gjf;Cuenca, Ecuador;es;negros;racismo;no
62;1,48E+18;julio_efe_;31/12/2021 22:23;Los sillones negros deberÌan de ser eternos https://t.co/0bEu9efGxE;Guayas, Ecuador;es;negros;racismo;no
63;1,48E+18;JulioCesarUV;5/1/2022 3:16;esto es una hamburguesa y no esa cosa que te sirve un barbudo hipster de camisa a cuadros y guantes negros https://t.co/rsANr4Ikst;Guayaquil;es;negros;racismo;no
64;1,48E+18;karynaarteaga;29/12/2021 15:24;"Hace aÒos perseguÌan a los homosexuales y los metÌan presos; un poco m·s all· perseguÌan a los negros y les negaban sus derechos; las mujeres no podÌan estudiar ni votar. El divorcio no existÌa. No retrocedamos,por no inocularse un f·rmaco te quita derechosÖ  @LassoGuillermo";Guayaquil, Ecuador;es;negros;racismo;no
65;1,48E+18;km7pere_;2/1/2022 16:45;la mejor inversiÛn que pude haber hecho fue comprarme unos deportivos negros.<U+0001F642>;Guayaquil, Ecuador;es;negros;racismo;no
66;1,48E+18;labluquekits;2/1/2022 1:20;"Uno de nuestros aceites favoritos:
Aceite Semillas de Uva <U+0001F347>

Nuestro Aceite de semillas de uva es 100% puro y natural <U+2728>

Es una fuente poderosa de antioxidantes <U+0001F60D>

Hidrata, trata lÌneas de expresiÛn, arrugas, acnÈ o puntos negros, ojeras, cicatrices y es antiage <U+0001F970> https://t.co/zvDUAwZ5YI";Guayaquil, Ecuador;es;negros;racismo;no
67;1,48E+18;lalonava64;4/1/2022 14:29;@dopachocotomi Parece conventillo de negros <U+26AB>;Guayaquil ;es;negros;racismo;si
68;1,48E+18;LeoMosquera10;3/1/2022 3:33;"@ISAZULETA La autodeterminaciÛn por una etnia, muchos lo realizan por oportunismo, ser negro significa haber pasado pobreza y todo tipo de discriminaciÛn. Los gobiernos ""justifican"" tener en sus filas a pigmentocraticos que  se hacen llamar negros para sus intereses particulares.";Ambato, Ecuador;es;negros;racismo;no
69;1,48E+18;LuisFelipeGuan1;31/12/2021 15:17;@JL30PL @diegoandradea @CJudicaturaEc Mi negro yo no hablo con negros apestosos, jajaja mÌnimo trabajas lamiendo el * ahÌ, y mi negro tu si sabes leer ? Por q ese negro asambleÌsta no sabÌa tu haz de ser de la misma calaÒa de negros;Samborondon, Ecuador;es;negros;racismo;si
70;1,48E+18;MaholyLoor;2/1/2022 3:24;@luisaxell9 Los negros somos hermosos <U+2764>;Buena Fe, Ecuador;es;negros;racismo;si
71;1,48E+18;mailbo19;29/12/2021 5:35;@Johaaanss Los negros no se ven;Riobamba, Ecuador;es;negros;racismo;si
72;1,48E+18;mailbo19;5/1/2022 20:35;@Rescalvismo1 @CarlosXArguello @soldadoldu @fixparadisse @_gabriela_10_ Demaciados longos y monos burros;Riobamba, Ecuador;es;longos;racismo;si
73;1,48E+18;mailbo19;4/1/2022 3:51;@moielpatron Longos jÛvenes;Riobamba, Ecuador;es;longos;racismo;si
74;1,48E+18;manmunoz74;29/12/2021 2:54;El 29 de dic.1890: en Dakota del Sur (Estados Unidos) militares del 7.∫ Regimiento de CaballerÌa asesinan a tiros (Masacre de Wounded Knee) a entre 135 y 300 indios lakotas (hombres, mujeres, niÒos y ancianos).   f...Wikipedia;guayaquil-ecuador;es;indios;racismo;no
75;1,48E+18;MarioBu07740570;4/1/2022 23:54;@Vice_Ec <U+0001F620> Ecuador el ˙nico paÌs del #Mundo donde se proteje a los #Criminales por hacer campaÒa electoral <U+0001F620> tambiÈn nos informaron que #Hoy 7:35 am hubo un robo a mano armada <U+0001F628> en la coop los negros #Loja <U+2639><U+FE0F> los #Lojanos llamaron al @ECU911Loja pero no llegÛ #Socorro;Guayaquil, Ecuador;es;negros;racismo;no
76;1,48E+18;Mathius_Bsc;4/1/2022 2:50;@capitan_sps Amigo es que literal, hay negros en arabia sauditaø XDXDXD;guayaquil;es;negros;racismo;si
77;1,48E+18;Mathius_Bsc;4/1/2022 2:34;Un edit para no pensar en los negros hondureÒos kjjj https://t.co/5WVoFfzd9i;guayaquil;es;negros;racismo;si
78;1,48E+18;Mathius_Bsc;4/1/2022 1:11;@honeypleaseee @OskarFaraj Mmv lo que dices por un chat no afecta y si tanto hablas de mierda es por que es lo unico que tienen para sobrevivir indios hptas°,mejor hubieras ido al space que te sacaba la puta;guayaquil;es;indios;racismo;si
79;1,48E+18;mireya_gc;2/1/2022 0:57;Te mando corazones negros porque quiero pero creo que ya no puedo <U+0001F5A4>;Cuenca, Ecuador;es;negros;racismo;no
80;1,48E+18;monitoguayaco;30/12/2021 19:46;@jeff_jta @El_juancito_vee Y xq la sierra genera menos dinero entonces? Dicho por los propios longos;Guayaquil;es;longos;racismo;si
81;1,48E+18;Opinologo76ITA;3/1/2022 17:11;@SUZUKI_CHR Y en ese paÌs lejano.... de puros longos, ahÌ si el Ìdolo de los longos serÌa Liga de Quito.;Guayaquil;es;longos;racismo;si
82;1,48E+18;Opinologo76ITA;3/1/2022 17:09;"@SUZUKI_CHR Yo opino refundar esta huevada; un paÌs para los cholos y otro paÌs, lejano... muy lejano para los longos.";Guayaquil;es;longos;racismo;si
83;1,48E+18;Patocisneros_ec;5/1/2022 3:36;@NilsonAngulismo Hablen pues longos;Guayaquil, Ecuador ;es;longos;racismo;si
84;1,48E+18;pier_venturini;29/12/2021 16:33;Una cosa m·s, la tienen adentro y la seguir·n tendiendo adentro, longos cagones;Guayaquil, Ecuador;es;longos;racismo;si
85;1,48E+18;ppbeesece;29/12/2021 19:36;@demitorera Todo muy bien Demi, puteando longos, y el tuyo?;Guayaquil, Ecuador;es;longos;racismo;si
86;1,48E+18;pussyeater1124p;31/12/2021 15:09;@eluniversocom Lo que m·s me preocupa es que va a ver longos que lean esto y se lo crean sin si quiera leer el artÌculo. Cosa que por cierto NO EST¡ PUBLICADO!!!!;Latacunga;es;longos;racismo;si
87;1,48E+18;R2arosemena;5/1/2022 0:26;No me gustÛ la Whopper vegana del Burger King.  Esa carne hecha de plantas no sabe a nada, se siente la cebolla m·s q nada.  La comprÈ x novelero, no soy vegano, pero no es la primera hamburguesa vegana q como.  La de Chillis es muchÌsimo mejor, carne hecha de frÈjoles negros.;Guayaquil;es;negros;racismo;no
88;1,48E+18;Radio_Bakana;3/1/2022 2:09;3D Corazones - Los negros estan de moda;Quevedo Ecuador;es;negros;racismo;si
89;1,48E+18;Radio_Bakana;31/12/2021 0:03;ANGELES NEGROS - SI LAS FLORES PUDIERAN HABLAR;Quevedo Ecuador;es;negros;racismo;no
90;1,48E+18;Radio_Bakana;2/1/2022 5:09;PARA TUS OJOS NEGROS - (Julio Jaramillo);Quevedo Ecuador;es;negros;racismo;no
91;1,48E+18;RaisaMV143;1/1/2022 2:55;@_JeynePoole_ NEGROS! Feliz aÒo!;GYE, Ecuador;es;negros;racismo;si
92;1,48E+18;ReneBonniee;3/1/2022 22:12;"Ven siÈntate aqui Chugcha!
-Mis longos haciendo deberes. <U+0001F970>";Guayaquil, Ecuador;es;longos;racismo;si
93;1,48E+18;ReneBonniee;3/1/2022 23:46;JAJAJAJAJAJAJA Indios, Indios para hablar esos hijos de puta Kjjj;Guayaquil, Ecuador;es;indios;racismo;si
94;1,48E+18;Rodriguizmo1;1/1/2022 22:16;Dios en este mundo solo odio dos cosas una es el racismo y la otra los negros;Guayas, Ecuador;es;negros;racismo;si
95;1,48E+18;Rodriguizmo1;3/1/2022 23:39;Al menos el acento de los HondureÒos es mejor que el de los longos de la Sierra;Guayas, Ecuador;es;longos;racismo;si
96;1,48E+18;Rudolf1959;3/1/2022 10:57;@rodrigo7pa @CSEmelec La mayorÌa no viviÛ los dÌas negros de Emelec donde dirigentes se contentaban con q no descienda o q este en mitad de tabla y obviamente periohinchas pavos y cuyes eran felices. Por eso hablan de Nemecistas y dem·s pendejadas;Guayaquil;es;negros;racismo;no
97;1,48E+18;Skalibur13;3/1/2022 13:17;@RuloCarlo @nathyegon @RenatoVillasha1 @LuchoBaldeon @PatoBorja @RadioCanelaEC W·kala de radio de Yunda @LoroHomero , imitaciÛn andina de programas de Gye, hasta insultan en tuiter como guayaquileÒos, se juntan 3 longos sonsos a hablar en radio  y se creen divertidos, hasta en Cuenca ya lo hacen. @PatoBorja fue primero que el vergante este.  <U+0001F605><U+0001F602>;Guayaquil;es;longos;racismo;si
98;1,48E+18;StefanyPerezLo1;1/1/2022 8:20;Gracias chicos por estar en mi vida lo unico bueno y perfecto que tuve en este horrible aÒo fueron ustedes,los amo son mi vida,gracias por convertir esos dias de negros llenos de dolor en felicidad sin ustedes no soy nada,feliz aÒo nuevo a todos .;Guayaquil, Ecuador;es;negros;racismo;no
99;1,48E+18;SUZUKI_CHR;3/1/2022 4:44;Los ojitos negros deberÌan ser eternos <U+0001F609><U+0001F923><U+0001F602><U+0001F923> https://t.co/sLUO8pt72b;Guayaquil, Ecuador;es;negros;racismo;no
100;1,48E+18;SUZUKI_CHR;3/1/2022 16:38;Hagamos el mismo ejercicios de los cholos en MontaÒita pero con los longos en BaÒos de Agua Santa (?) https://t.co/2157GGFjnn;Guayaquil, Ecuador;es;longos;racismo;si
101;1,48E+18;SUZUKI_CHR;3/1/2022 3:54;Esos longos han sido bien sensibles cuando cholean a alguien <U+0001F923><U+0001F602><U+0001F923>;Guayaquil, Ecuador;es;longos;racismo;si
102;1,48E+18;tablon_noticias;1/1/2022 6:01;<U+0001F3AF> El efecto Titanic y los cisnes negros... https://t.co/NJRIyqhCXM;EspaÒa y el mundo;es;negros;racismo;no
103;1,48E+18;UnknownCavi;30/12/2021 3:14;@Radioactive_Gon Dicen que los gatos negros traen mala suerte asÌ que......;Guayaquil, Ecuador;es;negros;racismo;no
104;1,48E+18;VichyMontenegro;4/1/2022 11:44;Fondo negro para fotografÌa https://t.co/oykSrQrz4y;Guayaquil, Ecuador;es;negros;racismo;no
105;1,48E+18;VillaSarchi;30/12/2021 22:37;CÛmo pude creer, ni siquiera un instante, que yo le iba a interesar a una chica que pasa cortando cabello, pintando uÒas, y sacando puntos negros todo el santo dÌa? CÛmo iba a encajar yo, en algo asÌ? Nunca hubo ni el m·s mÌnimo chance. Me infravalorÈ yo, y la sobreestimÈ a ella.;Guayaquil, Ecuador;es;negros;racismo;no
106;1,48E+18;WilsonVelascoOF;5/1/2022 9:27;@ByronJoeylsd @Chris309001 @shirley41943383 Jajajajaja y lo peor se ofenden y lo agarran personal , nuestros panas los negros, cholos , indios ,p·lidos,  enanos,  gordos ,paletudos est·n blindados con esos comentarios,  pero ahora estos se creen defensores del pueblo , ridÌculos inicuos;Guayaquil - Ecuador;es;negros;racismo;si
107;1,48E+18;WilsonVelascoOF;5/1/2022 9:27;@ByronJoeylsd @Chris309001 @shirley41943383 Jajajajaja y lo peor se ofenden y lo agarran personal , nuestros panas los negros, cholos , indios ,p·lidos,  enanos,  gordos ,paletudos est·n blindados con esos comentarios,  pero ahora estos se creen defensores del pueblo , ridÌculos inicuos;Guayaquil - Ecuador;es;indios;racismo;si
108;1,48E+18;youngalex43;29/12/2021 3:08;Esos ojos negros me flecharon;Los Rios, Ecuador;es;negros;racismo;si
109;1,48E+18;17Stiven31;3/1/2022 0:55;@No_SoySerio @Kedu94 El chino est† por Miami este fin de semana ..;daule y guayaquil;es;chino;xenofobia;no
110;1,48E+18;7origuenes;5/1/2022 0:47;@elcomerciocom El Coe se extralimitando en sus funciones, las pÇrdidas de trabajos y de ingresos ser†n responsabilidad del COE ,avisen si estamos en democracia o est†n copiando los mÇtodos del partido comunista chino ,ya somos esclavos o no;En el mundo;es;chino;xenofobia;no
111;1,48E+18;A_nthonyAlmonte;4/1/2022 1:34;@KlausRevolucion COVID 2.0 Mi chino!!;Guayaquil- Ecuador;es;chino;xenofobia;no
112;1,48E+18;a3s666;5/1/2022 19:46;@bita_borja Como que hablaras en chino, que significa ?;Guayaquil, Ecuador;es;chino;xenofobia;no
113;1,48E+18;AderneyCarrillo;29/12/2021 18:12;"<U+0001F60A><U+0001F3A5> Por aqu° les dej¢ un peque§o video de mi chamo aprendiendo a manejar bicicleta y reaccionando a sus regalos de Navidad. #FelizNavidad #momentos #felicidad
 <U+2764><U+FE0F><U+0001F499><U+0001F381><U+0001F384> #3spesk #Hive #posh #EspaVlog <U+0001F44D><U+0001F44D>  
<U+25B6><U+FE0F> Watch on 3Speak https://t.co/mpIfvb6tjM";Guayaquil, Ecuador;es;chamo;xenofobia;no
114;1,48E+18;AEVStereo_;31/12/2021 0:59;"<U+0001F1FB><U+0001F1EA><U+0001F44F> Miguel Rojas, un joven venezolano de apenas 13 a§os, descubri¢ un asteroide ubicado entre los planetas Marte y J£piter.

La haza§a del menor fue registrada por la Administraci¢n Nacional de Aeron†utica y el Espacio (NASA). 

Desde Barquisimeto, e? https://t.co/13WJeJFUk7 https://t.co/DNijHLTRTb";En el Mundo;es;venezolano;xenofobia;no
